<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.11.30	18:00:00	0.70162	0.70230	0.70127	0.70198	7629	10444450000	7
2015.11.30	19:00:00	0.70197	0.70268	0.70168	0.70230	4269	7133700000	7
2015.11.30	20:00:00	0.70230	0.70240	0.70181	0.70189	3428	4112350000	7
2015.11.30	21:00:00	0.70189	0.70206	0.70140	0.70205	3868	4893300000	7
2015.11.30	22:00:00	0.70203	0.70215	0.70141	0.70149	3615	4239700000	7
2015.11.30	23:00:00	0.70149	0.70182	0.70136	0.70163	2844	3169100000	8
2015.12.01	00:00:00	0.70123	0.70181	0.70106	0.70174	2536	2158400000	0
2015.12.01	01:00:00	0.70174	0.70198	0.70158	0.70195	2957	3054750000	9
2015.12.01	02:00:00	0.70198	0.70209	0.70125	0.70137	4064	4795000000	7
2015.12.01	03:00:00	0.70136	0.70190	0.70110	0.70140	4871	5623150000	7
2015.12.01	04:00:00	0.70141	0.70190	0.70088	0.70099	6802	7831250000	7
2015.12.01	05:00:00	0.70098	0.70149	0.70071	0.70141	4508	5800800000	8
2015.12.01	06:00:00	0.70141	0.70148	0.70081	0.70107	3632	4672850000	9
2015.12.01	07:00:00	0.70107	0.70135	0.70068	0.70071	4736	6517400000	7
2015.12.01	08:00:00	0.70072	0.70159	0.70065	0.70133	4684	4687300000	7
2015.12.01	09:00:00	0.70134	0.70167	0.70072	0.70092	5103	5181850000	7
2015.12.01	10:00:00	0.70091	0.70178	0.70068	0.70145	7338	8027450000	7
2015.12.01	11:00:00	0.70144	0.70295	0.70144	0.70247	7006	9553600000	7
2015.12.01	12:00:00	0.70244	0.70247	0.70158	0.70186	5406	7013500000	7
2015.12.01	13:00:00	0.70186	0.70293	0.70172	0.70287	4646	6470950000	7
2015.12.01	14:00:00	0.70287	0.70347	0.70261	0.70345	4424	5877450000	7
2015.12.01	15:00:00	0.70346	0.70420	0.70299	0.70396	6274	8236750000	7
2015.12.01	16:00:00	0.70395	0.70502	0.70388	0.70429	7756	9090400000	7
2015.12.01	17:00:00	0.70425	0.70493	0.70406	0.70463	9302	11871500000	7
2015.12.01	18:00:00	0.70464	0.70496	0.70415	0.70446	7690	12299550000	7
2015.12.01	19:00:00	0.70447	0.70466	0.70405	0.70419	5401	8112550000	7
2015.12.01	20:00:00	0.70421	0.70506	0.70418	0.70490	3941	5601650000	7
2015.12.01	21:00:00	0.70490	0.70507	0.70462	0.70487	3589	5407008000	7
2015.12.01	22:00:00	0.70486	0.70510	0.70473	0.70496	2684	3314300000	7
2015.12.01	23:00:00	0.70496	0.70512	0.70460	0.70495	2786	3503000000	7
2015.12.02	00:00:00	0.70487	0.70502	0.70450	0.70462	1847	1324950000	7
2015.12.02	01:00:00	0.70462	0.70480	0.70444	0.70478	3504	3612400000	9
2015.12.02	02:00:00	0.70475	0.70497	0.70466	0.70491	3789	3493050000	8
2015.12.02	03:00:00	0.70492	0.70496	0.70459	0.70461	4170	4866150000	9
2015.12.02	04:00:00	0.70460	0.70495	0.70455	0.70474	3550	4226850000	8
2015.12.02	05:00:00	0.70473	0.70475	0.70447	0.70470	2449	3051850000	8
2015.12.02	06:00:00	0.70469	0.70480	0.70451	0.70453	2549	3221000000	7
2015.12.02	07:00:00	0.70453	0.70458	0.70436	0.70445	2193	2227950000	9
2015.12.02	08:00:00	0.70445	0.70450	0.70405	0.70408	2806	3320950000	7
2015.12.02	09:00:00	0.70407	0.70495	0.70402	0.70489	5530	7406650000	7
2015.12.02	10:00:00	0.70488	0.70572	0.70447	0.70463	7951	10382350000	7
2015.12.02	11:00:00	0.70464	0.70674	0.70433	0.70615	7404	9630086000	7
2015.12.02	12:00:00	0.70612	0.70612	0.70297	0.70390	8027	11254100000	7
2015.12.02	13:00:00	0.70390	0.70494	0.70384	0.70486	4695	6148950000	7
2015.12.02	14:00:00	0.70486	0.70549	0.70433	0.70531	5129	6720500000	7
2015.12.02	15:00:00	0.70531	0.70602	0.70486	0.70553	8005	8361945000	7
2015.12.02	16:00:00	0.70554	0.70725	0.70546	0.70635	7991	9599099000	7
2015.12.02	17:00:00	0.70635	0.70730	0.70592	0.70723	10196	11254650000	7
2015.12.02	18:00:00	0.70726	0.70893	0.70722	0.70831	7923	11348319000	7
2015.12.02	19:00:00	0.70831	0.70954	0.70790	0.70885	9838	12843746000	7
2015.12.02	20:00:00	0.70884	0.71004	0.70856	0.70986	8081	9747050000	7
2015.12.02	21:00:00	0.70986	0.71105	0.70979	0.71067	7314	8893100000	7
2015.12.02	22:00:00	0.71067	0.71071	0.70996	0.71028	4945	6592550000	7
2015.12.02	23:00:00	0.71030	0.71049	0.70987	0.70987	2829	3376850000	7
2015.12.03	00:00:00	0.70993	0.71012	0.70939	0.70986	3832	3638850000	0
2015.12.03	01:00:00	0.70987	0.71003	0.70960	0.70982	4596	4904650000	7
2015.12.03	02:00:00	0.70982	0.71004	0.70970	0.70982	4209	4619800000	8
2015.12.03	03:00:00	0.70982	0.71033	0.70956	0.70983	3778	3747750000	7
2015.12.03	04:00:00	0.70983	0.70996	0.70948	0.70966	3866	4677750000	7
2015.12.03	05:00:00	0.70965	0.70977	0.70945	0.70966	3441	4414800000	7
2015.12.03	06:00:00	0.70966	0.70980	0.70927	0.70944	3615	5758250000	7
2015.12.03	07:00:00	0.70944	0.70973	0.70937	0.70949	3011	4753350000	7
2015.12.03	08:00:00	0.70948	0.70965	0.70888	0.70914	3739	5224695000	7
2015.12.03	09:00:00	0.70914	0.70943	0.70846	0.70879	5988	8157800000	7
2015.12.03	10:00:00	0.70878	0.70884	0.70748	0.70857	7300	9252150000	7
2015.12.03	11:00:00	0.70857	0.70873	0.70633	0.70715	7929	10763800000	7
2015.12.03	12:00:00	0.70715	0.70722	0.70633	0.70689	6458	10110650000	7
2015.12.03	13:00:00	0.70688	0.70781	0.70624	0.70626	6715	9477450000	7
2015.12.03	14:00:00	0.70625	0.71440	0.70428	0.71237	12411	14444573000	7
2015.12.03	15:00:00	0.71237	0.72382	0.71158	0.71951	17342	17827404000	7
2015.12.03	16:00:00	0.71951	0.71986	0.71772	0.71883	14250	15915157000	7
2015.12.03	17:00:00	0.71891	0.72168	0.71854	0.72148	11879	12661900000	7
2015.12.03	18:00:00	0.72147	0.72418	0.72069	0.72247	12986	14820350000	7
2015.12.03	19:00:00	0.72247	0.72373	0.72166	0.72190	9864	10360550000	7
2015.12.03	20:00:00	0.72189	0.72331	0.72189	0.72300	7891	8162850000	7
2015.12.03	21:00:00	0.72299	0.72506	0.72297	0.72423	8821	8875120000	7
2015.12.03	22:00:00	0.72423	0.72473	0.72209	0.72260	8796	11187900000	7
2015.12.03	23:00:00	0.72259	0.72294	0.72201	0.72216	4922	5783250000	7
2015.12.04	00:00:00	0.72205	0.72224	0.72145	0.72172	2961	2508050000	7
2015.12.04	01:00:00	0.72170	0.72229	0.72115	0.72139	6298	5938950000	9
2015.12.04	02:00:00	0.72138	0.72306	0.72118	0.72152	6434	7029200000	7
2015.12.04	03:00:00	0.72151	0.72188	0.72072	0.72120	6506	7833450000	7
2015.12.04	04:00:00	0.72119	0.72243	0.72097	0.72213	5155	6823300000	7
2015.12.04	05:00:00	0.72213	0.72265	0.72188	0.72264	4480	5777900000	9
2015.12.04	06:00:00	0.72264	0.72326	0.72242	0.72294	3978	5234350000	9
2015.12.04	07:00:00	0.72294	0.72334	0.72282	0.72327	3868	4297850000	8
2015.12.04	08:00:00	0.72328	0.72355	0.72212	0.72213	4960	5692495000	7
2015.12.04	09:00:00	0.72212	0.72276	0.72050	0.72069	9532	12375061000	7
2015.12.04	10:00:00	0.72068	0.72090	0.71932	0.71958	10715	14831240000	7
